,t,z,Precipitation (mm),AirTemp (DegC),WindSpeed_Avg (m/s),EVI,sum_rain_10,sum_rain_20,sum_rain_30,sum_rain_40,sum_rain_50,sum_rain_60,sum_rain_70,sum_rain_80,sum_rain_90,sum_rain_100,water_content,time
6831,2277,0.3048,0.0,15.875,0.1688333333333333,4495.776041666667,0.0,0.0,0.0,0.0,2.9749999999999965,2.9749999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 21:00:00
6832,2277,0.5588,0.0,15.875,0.1688333333333333,4495.776041666667,0.0,0.0,0.0,0.0,2.9749999999999965,2.9749999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.243,2024-03-23 21:00:00
6833,2277,0.762,0.0,15.875,0.1688333333333333,4495.776041666667,0.0,0.0,0.0,0.0,2.9749999999999965,2.9749999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 21:00:00
6834,2278,0.3048,0.0,15.898333333333332,0.3238333333333333,4496.651041666667,0.0,0.0,0.0,0.0,0.1019999999999964,2.9749999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 22:00:00
6835,2278,0.5588,0.0,15.898333333333332,0.3238333333333333,4496.651041666667,0.0,0.0,0.0,0.0,0.1019999999999964,2.9749999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.243,2024-03-23 22:00:00
6836,2278,0.762,0.0,15.898333333333332,0.3238333333333333,4496.651041666667,0.0,0.0,0.0,0.0,0.1019999999999964,2.9749999999999983,4.521999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.248,2024-03-23 22:00:00
6837,2279,0.3048,0.0,16.95,0.6303333333333333,4497.526041666667,0.0,0.0,0.0,0.0,0.0849999999999964,2.9749999999999983,4.453999999999998,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-23 23:00:00
6838,2279,0.5588,0.0,16.95,0.6303333333333333,4497.526041666667,0.0,0.0,0.0,0.0,0.0849999999999964,2.9749999999999983,4.453999999999998,4.521999999999999,4.521999999999999,4.521999999999999,0.243,2024-03-23 23:00:00
6839,2279,0.762,0.0,16.95,0.6303333333333333,4497.526041666667,0.0,0.0,0.0,0.0,0.0849999999999964,2.9749999999999983,4.453999999999998,4.521999999999999,4.521999999999999,4.521999999999999,0.2476666666666666,2024-03-23 23:00:00
6840,2280,0.3048,0.0,16.606666666666666,0.6158333333333333,4498.401041666667,0.0,0.0,0.0,0.0,0.0849999999999964,2.9749999999999983,4.317999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-24 00:00:00
6841,2280,0.5588,0.0,16.606666666666666,0.6158333333333333,4498.401041666667,0.0,0.0,0.0,0.0,0.0849999999999964,2.9749999999999983,4.317999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.243,2024-03-24 00:00:00
6842,2280,0.762,0.0,16.606666666666666,0.6158333333333333,4498.401041666667,0.0,0.0,0.0,0.0,0.0849999999999964,2.9749999999999983,4.317999999999999,4.521999999999999,4.521999999999999,4.521999999999999,0.247,2024-03-24 00:00:00
6843,2281,0.3048,0.0,16.116666666666667,0.7796666666666666,4499.276041666667,0.0,0.0,0.0,0.0,0.0679999999999964,2.9749999999999983,3.9949999999999983,4.521999999999999,4.521999999999999,4.521999999999999,0.202,2024-03-24 01:00:00
6844,2281,0.5588,0.0,16.116666666666667,0.7796666666666666,4499.276041666667,0.0,0.0,0.0,0.0,0.0679999999999964,2.9749999999999983,3.9949999999999983,4.521999999999999,4.521999999999999,4.521999999999999,0.243,2024-03-24 01:00:00
